                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     96,                0.71551,                 1.6794,                 1.4779,                0.97161,                      1,                  0.995,                  0.995,                 0.2782,                0.85951,                0.77144,              0.0005797,              0.0005797,              0.0005797
                     97,                0.73253,                 1.7451,                 1.4731,                0.97318,                      1,                  0.995,                  0.995,                0.31853,                0.82683,                0.79489,             0.00057828,             0.00057828,             0.00057828
                     98,                0.80229,                 1.7021,                 1.5175,                 0.9728,                      1,                  0.995,                 0.8955,                0.36622,                 0.8061,                0.81181,             0.00057687,             0.00057687,             0.00057687
                     99,                0.75982,                 1.7749,                 1.5032,                0.97403,                      1,                  0.995,                  0.995,                 0.3554,                0.66451,                0.89574,             0.00057546,             0.00057546,             0.00057546
                    100,                0.64243,                 1.6484,                 1.4219,                0.97364,                      1,                  0.995,                  0.995,                0.27992,                0.76336,                0.89117,             0.00057404,             0.00057404,             0.00057404
                    101,                0.75581,                 1.6939,                 1.4982,                0.97343,                      1,                  0.995,                  0.995,                0.40011,                0.75966,                  0.841,             0.00057263,             0.00057263,             0.00057263
                    102,                 0.7316,                 1.7518,                  1.452,                0.97283,                      1,                  0.995,                  0.995,                0.28654,                0.64564,                0.77486,             0.00057121,             0.00057121,             0.00057121
                    103,                0.76486,                 1.7552,                 1.4571,                      1,                      1,                  0.995,                  0.995,                 0.3537,                0.81092,                0.74921,              0.0005698,              0.0005698,              0.0005698
                    104,                0.69235,                 1.5513,                 1.4308,                      1,                      1,                  0.995,                 0.8955,                0.47863,                0.86751,                0.82298,             0.00056839,             0.00056839,             0.00056839
                    105,                0.73826,                 1.7491,                 1.4397,                      1,                      1,                  0.995,                  0.995,                 0.2692,                0.78615,                0.74291,             0.00056697,             0.00056697,             0.00056697
                    106,                0.77395,                 1.6706,                  1.449,                      1,                      1,                  0.995,                  0.995,                0.31384,                0.94487,                0.79599,             0.00056556,             0.00056556,             0.00056556
                    107,                0.77046,                 1.6559,                 1.4926,                0.97392,                      1,                  0.995,                  0.995,                0.35159,                0.76136,                0.78817,             0.00056415,             0.00056415,             0.00056415
                    108,                0.73483,                 1.6238,                 1.4577,                0.97442,                      1,                  0.995,                 0.8955,                0.41104,                0.62202,                0.80748,             0.00056273,             0.00056273,             0.00056273
                    109,                  0.733,                 1.6966,                 1.4228,                      1,                      1,                  0.995,                  0.995,                 0.2756,                0.70761,                0.74796,             0.00056132,             0.00056132,             0.00056132
                    110,                0.74001,                 1.6024,                 1.4182,                      1,                      1,                  0.995,                  0.995,                0.34138,                0.65357,                 0.7685,              0.0005599,              0.0005599,              0.0005599
                    111,                0.71054,                 1.6087,                 1.4283,                0.97428,                      1,                  0.995,                  0.995,                0.24735,                0.76933,                0.76563,             0.00055849,             0.00055849,             0.00055849
                    112,                0.64904,                 1.5568,                 1.3906,                0.97334,                      1,                  0.995,                  0.995,                0.22791,                0.75146,                0.74957,             0.00055708,             0.00055708,             0.00055708
                    113,                0.67109,                 1.5924,                 1.3986,                 0.9743,                      1,                  0.995,                  0.995,                0.30636,                0.67723,                0.77477,             0.00055566,             0.00055566,             0.00055566
                    114,                   0.68,                 1.6138,                 1.4203,                0.97386,                      1,                  0.995,                  0.995,                0.30372,                 0.7489,                0.77569,             0.00055425,             0.00055425,             0.00055425
                    115,                0.75703,                 1.6653,                 1.4231,                0.97412,                      1,                  0.995,                  0.995,                 0.3185,                0.62329,                0.80668,             0.00055284,             0.00055284,             0.00055284
                    116,                0.66296,                 1.5589,                 1.3796,                0.97439,                      1,                  0.995,                  0.995,                0.29559,                0.53294,                0.76536,             0.00055142,             0.00055142,             0.00055142
                    117,                0.62687,                 1.5055,                 1.3636,                      1,                      1,                  0.995,                  0.995,                0.43917,                0.61361,                0.81929,             0.00055001,             0.00055001,             0.00055001
                    118,                0.64544,                 1.5435,                 1.3417,                      1,                      1,                  0.995,                  0.995,                 0.2413,                0.66067,                0.77833,             0.00054859,             0.00054859,             0.00054859
                    119,                0.62741,                  1.501,                 1.3523,                0.97425,                      1,                  0.995,                  0.995,                0.41621,                0.57685,                0.82359,             0.00054718,             0.00054718,             0.00054718
                    120,                0.70568,                 1.5618,                 1.4042,                0.97424,                      1,                  0.995,                 0.8955,                0.46945,                0.52329,                0.83972,             0.00054577,             0.00054577,             0.00054577
                    121,                0.60549,                 1.6122,                 1.3407,                0.97457,                      1,                  0.995,                  0.995,                0.30837,                0.82936,                0.76445,             0.00054435,             0.00054435,             0.00054435
                    122,                0.58715,                 1.4446,                 1.3358,                0.97482,                      1,                  0.995,                  0.995,                 0.3108,                0.77605,                0.76042,             0.00054294,             0.00054294,             0.00054294
                    123,                0.70153,                 1.6058,                 1.4045,                0.97414,                      1,                  0.995,                  0.995,                0.36061,                 0.5066,                0.77062,             0.00054153,             0.00054153,             0.00054153
                    124,                0.63386,                 1.6121,                 1.3352,                0.97346,                      1,                  0.995,                  0.995,                0.26882,                0.60848,                0.77399,             0.00054011,             0.00054011,             0.00054011
                    125,                0.61941,                 1.5778,                 1.3238,                0.97189,                      1,                  0.995,                  0.995,                 0.2612,                0.59578,                0.76592,              0.0005387,              0.0005387,              0.0005387
                    126,                0.65822,                 1.4601,                 1.3042,                      1,                      1,                  0.995,                  0.995,                0.24193,                0.65479,                 0.7941,             0.00053728,             0.00053728,             0.00053728
                    127,                0.64708,                 1.4688,                 1.2995,                      1,                      1,                  0.995,                 0.8955,                0.38442,                 1.0575,                0.88267,             0.00053587,             0.00053587,             0.00053587
                    128,                0.69231,                 1.5557,                 1.3985,                      1,                      1,                  0.995,                 0.8955,                0.39582,                0.78036,                 0.8361,             0.00053446,             0.00053446,             0.00053446
                    129,                0.60815,                 1.4037,                 1.3235,                0.97438,                      1,                  0.995,                  0.995,                0.20651,                 0.4756,                0.74556,             0.00053304,             0.00053304,             0.00053304
                    130,                0.73829,                  1.532,                 1.3722,                0.97424,                      1,                  0.995,                  0.995,                0.19612,                0.45819,                0.73807,             0.00053163,             0.00053163,             0.00053163
                    131,                0.61201,                 1.4724,                 1.2614,                0.97407,                      1,                  0.995,                 0.8955,                0.46137,                0.64493,                0.83467,             0.00053022,             0.00053022,             0.00053022
                    132,                 0.6288,                 1.4652,                 1.2951,                0.97423,                      1,                  0.995,                 0.8955,                0.43326,                0.54372,                0.82817,              0.0005288,              0.0005288,              0.0005288
                    133,                0.64708,                  1.523,                 1.3406,                0.97329,                      1,                  0.995,                  0.995,                0.36387,                0.95291,                0.79366,             0.00052739,             0.00052739,             0.00052739
                    134,                0.73332,                 1.5218,                 1.3697,                0.97389,                      1,                  0.995,                  0.995,                 0.3889,                0.77748,                0.85652,             0.00052598,             0.00052598,             0.00052598
                    135,                 0.6276,                 1.5388,                 1.3376,                0.97411,                      1,                  0.995,                  0.995,                 0.3082,                0.52819,                0.76643,             0.00052456,             0.00052456,             0.00052456
                    136,                0.56733,                 1.4942,                 1.3039,                0.97396,                      1,                  0.995,                  0.995,                0.22527,                 0.5293,                 0.7523,             0.00052315,             0.00052315,             0.00052315
                    137,                0.64432,                 1.4652,                 1.3197,                      1,                      1,                  0.995,                  0.995,                0.24791,                0.62347,                 0.7412,             0.00052173,             0.00052173,             0.00052173
                    138,                0.64041,                 1.4951,                  1.316,                      1,                      1,                  0.995,                  0.995,                0.27084,                0.64854,                0.73531,             0.00052032,             0.00052032,             0.00052032
                    139,                0.57695,                 1.3504,                 1.3022,                0.97364,                      1,                  0.995,                 0.8955,                0.38851,                0.61931,                0.78124,             0.00051891,             0.00051891,             0.00051891
                    140,                0.52819,                 1.3636,                 1.2359,                0.97424,                      1,                  0.995,                 0.8955,                0.30678,                0.59458,                0.74385,             0.00051749,             0.00051749,             0.00051749
                    141,                0.64194,                 1.4681,                 1.3023,                0.97378,                      1,                  0.995,                  0.995,                0.17353,                0.53399,                0.70218,             0.00051608,             0.00051608,             0.00051608
                    142,                0.56311,                 1.3837,                 1.2931,                0.97413,                      1,                  0.995,                  0.995,                0.20514,                0.64129,                0.71116,             0.00051467,             0.00051467,             0.00051467
                    143,                0.69546,                 1.6051,                 1.2949,                0.97426,                      1,                  0.995,                  0.995,                0.28665,                  1.234,                 0.7243,             0.00051325,             0.00051325,             0.00051325
                    144,                0.60962,                 1.3701,                 1.2946,                0.97386,                      1,                  0.995,                  0.995,                 0.2546,                 1.3934,                0.72032,             0.00051184,             0.00051184,             0.00051184
                    145,                0.62062,                 1.3814,                 1.2576,                0.97437,                      1,                  0.995,                 0.8955,                0.39449,                0.54178,                0.79296,             0.00051042,             0.00051042,             0.00051042
                    146,                0.61038,                 1.5158,                 1.2809,                 0.9736,                      1,                  0.995,                  0.995,                0.28862,                0.49465,                0.77151,             0.00050901,             0.00050901,             0.00050901
                    147,                0.60443,                 1.4519,                 1.3156,                      1,                      1,                  0.995,                  0.995,                0.24173,                0.64311,                0.76122,              0.0005076,              0.0005076,              0.0005076
